"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","C1","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C2","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C3","C30","C4","C5","C6","C7","C8","C9"
"group_1076","","hypothetical protein","1","1","1","4","266","4","425","","407","407","407","","","","","","","","","","","","","","","","","","","","","","","","","EMCAFMOK_00076","","","","",""
"group_1077","","hypothetical protein","1","1","1","4","267","4","426","","407","407","407","","","","","","","","","","","","","","","","","","","","","","","","","EMCAFMOK_00077","","","","",""
"group_1078","","hypothetical protein","1","1","1","4","20","4","31","","1220","1220","1220","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00001","",""
"group_1079","","hypothetical protein","1","1","1","4","21","4","32","","176","176","176","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00002","",""
"group_1080","","hypothetical protein","1","1","1","4","22","4","33","","728","728","728","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00003","",""
"group_1081","","hypothetical protein","1","1","1","4","23","4","34","","551","551","551","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00004","",""
"group_1082","","hypothetical protein","1","1","1","4","24","4","35","","887","887","887","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00005","",""
"group_1083","","HNH endonuclease","1","1","1","4","25","4","36","","551","551","551","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00006","",""
"group_1084","","hypothetical protein","1","1","1","4","26","4","37","","92","92","92","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00007","",""
"group_1085","","hypothetical protein","1","1","1","4","27","4","38","","602","602","602","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00008","",""
"group_1086","","hypothetical protein","1","1","1","4","28","4","39","","314","314","314","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00009","",""
"group_1087","","hypothetical protein","1","1","1","4","29","4","40","","722","722","722","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00010","",""
"group_1088","","hypothetical protein","1","1","1","4","30","4","41","","653","653","653","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00011","",""
"group_1089","","hypothetical protein","1","1","1","4","31","4","42","","500","500","500","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00012","",""
"group_1090","","hypothetical protein","1","1","1","4","32","4","43","","413","413","413","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00013","",""
"group_1091","","hypothetical protein","1","1","1","4","33","4","44","","4709","4709","4709","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00014","",""
"group_1092","","hypothetical protein","1","1","1","4","34","4","45","","1112","1112","1112","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00015","",""
"group_1093","","minor tail protein","1","1","1","4","35","4","46","","1706","1706","1706","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00016","",""
"group_1094","","hypothetical protein","1","1","1","4","36","4","47","","1058","1058","1058","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00017","",""
"group_1095","","hypothetical protein","1","1","1","4","37","4","48","","5006","5006","5006","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00018","",""
"group_1096","","hypothetical protein","1","1","1","4","38","4","49","","395","395","395","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00019","",""
"group_1097","","tail assembly chaperone","1","1","1","4","39","4","50","","458","458","458","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00020","",""
"group_1098","","hypothetical protein","1","1","1","4","40","4","51","","1022","1022","1022","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00021","",""
"group_1099","","hypothetical protein","1","1","1","4","41","4","52","","407","407","407","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00022","",""
"group_1100","","hypothetical protein","1","1","1","4","42","4","53","","518","518","518","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00023","",""
"group_1101","","hypothetical protein","1","1","1","4","43","4","54","","389","389","389","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00024","",""
"group_1102","","head-to-tail adaptor","1","1","1","4","44","4","55","","425","425","425","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00025","",""
"group_1103","","hypothetical protein","1","1","1","4","45","4","56","","287","287","287","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00026","",""
"group_1104","","major capsid protein","1","1","1","4","46","4","57","","956","956","956","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00027","",""
"group_1105","","scaffolding protein","1","1","1","4","47","4","58","","362","362","362","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00028","",""
"group_1106","","capsid maturation protease","1","1","1","4","48","4","59","","1241","1241","1241","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00029","",""
"group_1107","","portal protein","1","1","1","4","49","4","60","","1421","1421","1421","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00030","",""
"group_1108","","terminase large subunit","1","1","1","4","50","4","61","","1610","1610","1610","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00031","",""
"group_1109","","terminase small subunit","1","1","1","4","51","4","62","","323","323","323","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00032","",""
"group_1110","","HNH endonuclease","1","1","1","4","52","4","63","","368","368","368","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00033","",""
"group_1111","","hypothetical protein","1","1","1","4","53","4","64","","236","236","236","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00034","",""
"group_1112","","hypothetical protein","1","1","1","4","54","4","65","","269","269","269","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00035","",""
"group_1113","","hypothetical protein","1","1","1","4","55","4","66","","377","377","377","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00036","",""
"group_1114","","hypothetical protein","1","1","1","4","56","4","67","","170","170","170","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00037","",""
"group_1115","","hypothetical protein","1","1","1","4","57","4","68","","188","188","188","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00038","",""
"group_1116","","helix-turn-helix DNA binding domain protein","1","1","1","4","58","4","69","","518","518","518","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00039","",""
"group_1117","","hypothetical protein","1","1","1","4","59","4","70","","335","335","335","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00040","",""
"group_1118","whiB","Transcriptional regulator WhiB","1","1","1","4","60","4","71","","464","464","464","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00041","",""
"group_1119","","hypothetical protein","1","1","1","4","61","4","72","","323","323","323","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00042","",""
"group_1120","","hypothetical protein","1","1","1","4","62","4","73","","263","263","263","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00043","",""
"group_1121","","hypothetical protein","1","1","1","4","63","4","74","","365","365","365","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00044","",""
"group_1122","","hypothetical protein","1","1","1","4","64","4","75","","407","407","407","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00045","",""
"group_1123","","hypothetical protein","1","1","1","4","65","4","76","","1385","1385","1385","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00046","",""
"group_1124","","RecT","1","1","1","4","66","4","77","","791","791","791","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00047","",""
"group_1125","","RecE-like protein","1","1","1","4","67","4","78","","1025","1025","1025","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00048","",""
"group_1126","","hypothetical protein","1","1","1","4","68","4","79","","296","296","296","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00049","",""
"group_1127","","hypothetical protein","1","1","1","4","69","4","80","","167","167","167","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00050","",""
"group_1128","","hypothetical protein","1","1","1","4","70","4","81","","317","317","317","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00051","",""
"group_1129","","hypothetical protein","1","1","1","4","71","4","82","","383","383","383","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00052","",""
"group_1130","","hypothetical protein","1","1","1","4","72","4","83","","206","206","206","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00053","",""
"group_1131","","hypothetical protein","1","1","1","4","73","4","84","","413","413","413","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00054","",""
"group_1132","","excise","1","1","1","4","74","4","85","","239","239","239","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00055","",""
"group_1133","","antirepressor","1","1","1","4","75","4","86","","965","965","965","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00056","",""
"group_1134","","hypothetical protein","1","1","1","4","76","4","87","","176","176","176","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00057","",""
"group_1135","","helix-turn-helix DNA binding domain protein","1","1","1","4","77","4","88","","251","251","251","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00058","",""
"group_1136","","hypothetical protein","1","1","1","4","78","4","89","","401","401","401","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00059","",""
"group_1137","","hypothetical protein","1","1","1","4","79","4","90","","269","269","269","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00060","",""
"group_1138","","integrase","1","1","1","4","80","4","91","","1136","1136","1136","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00061","",""
"mdtD","","Putative multidrug resistance protein MdtD","1","1","1","4","19","4","30","","1277","1277","1277","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00063","",""
"group_1140","pgm","Phosphoglucomutase","1","1","1","4","18","4","29","","1643","1643","1643","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00064","",""
"crcB1","","Putative fluoride ion transporter CrcB 1","1","1","1","4","17","4","28","","398","398","398","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00065","",""
"crcB","","Putative fluoride ion transporter CrcB","1","1","1","4","16","4","27","","377","377","377","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00066","",""
"group_1143","","Virulent VFDB|VFG021840 Lysine N-acetyltransferase MbtK [Mycobacterium tuberculosis H37Rv]","1","1","1","4","15","4","26","","617","617","617","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00067","",""
"group_1144","","hypothetical protein","1","1","1","4","14","4","25","","329","329","329","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00068","",""
"group_1145","","hypothetical protein","1","1","1","4","13","4","24","","1274","1274","1274","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00069","",""
"group_1146","","hypothetical protein","1","1","1","4","12","4","23","","920","920","920","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00070","",""
"group_1147","","hypothetical protein","1","1","1","4","11","4","22","","272","272","272","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00071","",""
"group_1148","","hypothetical protein","1","1","1","4","10","4","21","","566","566","566","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00072","",""
"group_1149","","hypothetical protein","1","1","1","4","9","4","20","","1463","1463","1463","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00073","",""
"group_1150","","putative protein","1","1","1","4","8","4","19","","593","593","593","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHAKHGPK_00074","",""
"group_1151","","hypothetical protein","1","1","1","4","114","4","145","","521","521","521","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DKHLLNMB_00002"
"group_1152","","hypothetical protein","1","1","1","4","120","4","168","","146","146","146","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DKHLLNMB_00005"
"group_1153","","hypothetical protein","1","1","1","4","119","4","169","","218","218","218","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DKHLLNMB_00006"
"group_1154","","hypothetical protein","1","1","1","4","118","4","170","","1097","1097","1097","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DKHLLNMB_00007"
"group_1155","","helix-turn-helix DNA binding domain protein","1","1","1","4","117","4","171","","275","275","275","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DKHLLNMB_00008"
"group_1156","","antirepressor-like protein","1","1","1","4","116","4","172","","695","695","695","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DKHLLNMB_00009"
"group_1157","","hypothetical protein","1","1","1","4","94","4","173","","371","371","371","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DKHLLNMB_00010"
"group_1158","","hypothetical protein","1","1","1","4","88","4","192","","1379","1379","1379","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DKHLLNMB_00024"
"group_1159","","hypothetical protein","1","1","1","4","87","4","193","","404","404","404","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DKHLLNMB_00025"
"group_1160","","hypothetical protein","1","1","1","4","86","4","194","","209","209","209","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DKHLLNMB_00026"
"group_118","","hypothetical protein","1","1","1","1","261","1","142","","152","152","152","","","","","","","","","","","","","","","","","","","HNEDNBGA_00060","","","","","","","","","","",""
"mspA","","Porin MspA","1","1","1","4","156","4","210","","671","671","671","","","","","","","","","","","","","","","","","","","","","","","FPLIBPMM_00005","","","","","","",""
"mspB","","Porin MspB","1","1","1","4","157","4","211","","668","668","668","","","","","","","","","","","","","","","","","","","","","","","FPLIBPMM_00006","","","","","","",""
"group_153","","integrase","1","1","1","1","245","1","282","","1106","1106","1106","DLMIBCKC_00001","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_154","","hypothetical protein","1","1","1","1","246","1","283","","326","326","326","DLMIBCKC_00002","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_155","","hypothetical protein","1","1","1","1","247","1","284","","347","347","347","DLMIBCKC_00003","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_156","","hypothetical protein","1","1","1","1","248","1","285","","1352","1352","1352","DLMIBCKC_00004","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_157","","helix-turn-helix DNA binding domain protein","1","1","1","1","249","1","286","","314","314","314","DLMIBCKC_00005","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_159","","hypothetical protein","1","1","1","1","260","1","281","","284","284","284","DLMIBCKC_00007","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_160","","hypothetical protein","1","1","1","1","259","1","280","","401","401","401","DLMIBCKC_00008","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_161","","hypothetical protein","1","1","1","1","258","1","279","","257","257","257","DLMIBCKC_00009","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_162","","hypothetical protein","1","1","1","1","257","1","278","","356","356","356","DLMIBCKC_00010","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_163","","hypothetical protein","1","1","1","1","256","1","277","","347","347","347","DLMIBCKC_00011","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_164","","helix-turn-helix DNA binding domain protein","1","1","1","1","255","1","276","","368","368","368","DLMIBCKC_00012","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_165","","RecE-like exonuclease","1","1","1","1","254","1","275","","941","941","941","DLMIBCKC_00013","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_166","","hypothetical protein","1","1","1","1","253","1","274","","1952","1952","1952","DLMIBCKC_00014","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_167","","hypothetical protein","1","1","1","1","252","1","273","","353","353","353","DLMIBCKC_00015","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_168","","hypothetical protein","1","1","1","1","251","1","272","","866","866","866","DLMIBCKC_00016","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_169","","hypothetical protein","1","1","1","1","250","1","271","","290","290","290","DLMIBCKC_00017","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_170","","hypothetical protein","1","1","1","1","121","1","270","","332","332","332","DLMIBCKC_00018","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_171","","hypothetical protein","1","1","1","1","122","1","269","","356","356","356","DLMIBCKC_00019","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_174","","hypothetical protein","1","1","1","1","181","1","200","","872","872","872","DLMIBCKC_00024","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_175","","hypothetical protein","1","1","1","1","180","1","199","","506","506","506","DLMIBCKC_00025","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_176","","hypothetical protein","1","1","1","1","179","1","198","","215","215","215","DLMIBCKC_00026","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_177","","hypothetical protein","1","1","1","1","178","1","197","","251","251","251","DLMIBCKC_00027","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_178","","hypothetical protein","1","1","1","1","177","1","196","","536","536","536","DLMIBCKC_00028","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_179","","hypothetical protein","1","1","1","1","176","1","195","","248","248","248","DLMIBCKC_00029","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_180","","hypothetical protein","1","1","1","1","175","1","194","","1211","1211","1211","DLMIBCKC_00030","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_181","","hypothetical protein","1","1","1","1","174","1","193","","266","266","266","DLMIBCKC_00031","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_182","","hypothetical protein","1","1","1","1","173","1","192","","419","419","419","DLMIBCKC_00032","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_183","","hypothetical protein","1","1","1","1","172","1","191","","329","329","329","DLMIBCKC_00033","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_184","","hypothetical protein","1","1","1","1","171","1","190","","392","392","392","DLMIBCKC_00034","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_185","","hypothetical protein","1","1","1","1","170","1","189","","512","512","512","DLMIBCKC_00035","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_186","","hypothetical protein","1","1","1","1","169","1","188","","191","191","191","DLMIBCKC_00036","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_187","","hypothetical protein","1","1","1","1","168","1","187","","161","161","161","DLMIBCKC_00037","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_188","","DNA methylase","1","1","1","1","167","1","186","","1007","1007","1007","DLMIBCKC_00038","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_189","","hypothetical protein","1","1","1","1","166","1","185","","929","929","929","DLMIBCKC_00039","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_190","","hypothetical protein","1","1","1","1","165","1","184","","293","293","293","DLMIBCKC_00040","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_191","","hypothetical protein","1","1","1","1","164","1","183","","122","122","122","DLMIBCKC_00041","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_192","","hypothetical protein","1","1","1","1","163","1","182","","305","305","305","DLMIBCKC_00042","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_193","","hypothetical protein","1","1","1","1","162","1","181","","374","374","374","DLMIBCKC_00043","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_194","","hypothetical protein","1","1","1","1","161","1","180","","494","494","494","DLMIBCKC_00044","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_195","","putative large terminase subunit","1","1","1","1","160","1","179","","1628","1628","1628","DLMIBCKC_00045","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_196","","hypothetical protein","1","1","1","1","159","1","178","","1574","1574","1574","DLMIBCKC_00046","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_197","","hypothetical protein","1","1","1","1","158","1","177","","998","998","998","DLMIBCKC_00047","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_198","","hypothetical protein","1","1","1","1","157","1","176","","755","755","755","DLMIBCKC_00048","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_199","","hypothetical protein","1","1","1","1","156","1","175","","416","416","416","DLMIBCKC_00049","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_200","","hypothetical protein","1","1","1","1","155","1","174","","1061","1061","1061","DLMIBCKC_00050","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_201","","hypothetical protein","1","1","1","1","154","1","173","","380","380","380","DLMIBCKC_00051","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_202","","hypothetical protein","1","1","1","1","153","1","172","","467","467","467","DLMIBCKC_00052","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_203","","hypothetical protein","1","1","1","1","152","1","171","","410","410","410","DLMIBCKC_00053","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_204","","hypothetical protein","1","1","1","1","151","1","170","","410","410","410","DLMIBCKC_00054","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_205","","hypothetical protein","1","1","1","1","150","1","169","","434","434","434","DLMIBCKC_00055","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_206","","hypothetical protein","1","1","1","1","149","1","168","","398","398","398","DLMIBCKC_00056","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_207","","hypothetical protein","1","1","1","1","148","1","167","","284","284","284","DLMIBCKC_00057","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_208","","hypothetical protein","1","1","1","1","147","1","166","","872","872","872","DLMIBCKC_00058","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_209","","hypothetical protein","1","1","1","1","146","1","165","","695","695","695","DLMIBCKC_00059","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_210","","hypothetical protein","1","1","1","1","145","1","164","","326","326","326","DLMIBCKC_00060","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_211","","tapemeasure","1","1","1","1","144","1","163","","5201","5201","5201","DLMIBCKC_00061","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_212","","hypothetical protein","1","1","1","1","143","1","162","","857","857","857","DLMIBCKC_00062","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_213","","hypothetical protein","1","1","1","1","142","1","161","","368","368","368","DLMIBCKC_00063","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_214","","hypothetical protein","1","1","1","1","141","1","160","","1820","1820","1820","DLMIBCKC_00064","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_215","","hypothetical protein","1","1","1","1","140","1","159","","2636","2636","2636","DLMIBCKC_00065","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_216","dap","D-aminopeptidase","1","1","1","1","139","1","158","","2126","2126","2126","DLMIBCKC_00066","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_217","","tRNA-Gly(gcc)","1","1","1","1","138","1","157","","79","79","79","DLMIBCKC_00067","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_218","","hypothetical protein","1","1","1","1","137","1","156","","284","284","284","DLMIBCKC_00068","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_219","","hypothetical protein","1","1","1","1","136","1","155","","437","437","437","DLMIBCKC_00069","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_220","","hypothetical protein","1","1","1","1","135","1","154","","1211","1211","1211","DLMIBCKC_00070","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_221","","lysin A","1","1","1","1","134","1","153","","1520","1520","1520","DLMIBCKC_00071","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_222","","hypothetical protein","1","1","1","1","133","1","152","","1298","1298","1298","DLMIBCKC_00072","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_223","","holin","1","1","1","1","132","1","151","","389","389","389","DLMIBCKC_00073","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_224","","hypothetical protein","1","1","1","1","131","1","150","","428","428","428","DLMIBCKC_00074","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_225","","hypothetical protein","1","1","1","1","130","1","149","","371","371","371","DLMIBCKC_00075","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_226","","hypothetical protein","1","1","1","1","129","1","148","","521","521","521","DLMIBCKC_00076","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_227","","hypothetical protein","1","1","1","1","128","1","147","","302","302","302","DLMIBCKC_00077","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_228","","hypothetical protein","1","1","1","1","127","1","146","","275","275","275","DLMIBCKC_00078","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_229","","hypothetical protein","1","1","1","1","126","1","145","","410","410","410","DLMIBCKC_00079","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_230","","integrase","1","1","1","1","125","1","144","","740","740","740","DLMIBCKC_00080","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_231","whiB","Transcriptional regulator WhiB","1","1","1","4","199","4","1","","293","293","293","","BENEPOLG_00001","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_232","","hypothetical protein","1","1","1","4","200","4","491","","452","452","452","","BENEPOLG_00002","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_233","","hypothetical protein","1","1","1","4","453","4","2","","599","599","599","","BENEPOLG_00006","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_234","","hypothetical protein","1","1","1","4","454","4","3","","128","128","128","","BENEPOLG_00007","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_235","","RNA ligase","1","1","1","4","455","4","4","","1196","1196","1196","","BENEPOLG_00008","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_236","","hypothetical protein","1","1","1","4","456","4","5","","260","260","260","","BENEPOLG_00009","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_237","","FtsK-like DNA translocase","1","1","1","4","84","4","122","","1070","1070","1070","","BENEPOLG_00012","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_238","","hypothetical protein","1","1","1","4","83","4","112","","458","458","458","","BENEPOLG_00013","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_242","","hypothetical protein","1","1","1","4","474","4","6","","257","257","257","","BENEPOLG_00019","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_243","","hypothetical protein","1","1","1","4","475","4","7","","296","296","296","","BENEPOLG_00020","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_244","","hypothetical protein","1","1","1","4","478","4","97","","491","491","491","","BENEPOLG_00023","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_245","","hypothetical protein","1","1","1","4","477","4","98","","212","212","212","","BENEPOLG_00024","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
